doc_id,doc_title,cid,citation_type,full_citation,context,sql_query,title,part,section,section_main,congress,law_number,volume,page
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,"<div class=""chunk-title"">Sec. 26-308. - Definitions.</div>",bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,40 C.F.R. 261,"<div class=""chunk-content"">
            <p class=""p0"">
               The following words, terms and phrases, when used in this article, shall have the
               meanings ascribed to them in this section, except where the context clearly indicates
               a different meaning:
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Acute hazardous waste</span> means the same as defined in 40 CFR 261 or any other applicable state or federal
               regulation.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Best available technology</span> means waste management and treatment technology equal in performance to the best
               treatment technology available in the marketplace which serves to render the waste
               to its least harmful form and most reduced volume.
               
            </p>
            <p class=""p0"">",SELECT * FROM cfr WHERE title = '40' AND part = '261',40,261,261,,,,,
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,"<div class=""chunk-title"">Sec. 26-308. - Definitions.</div>",bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,40 C.F.R. 260,"Nuclear Regulatory Commission, transuranic waste, or byproduct
               material as defined in Section 11E (2) of the Atomic Energy Act of 1954, as amended
               (68 Statute 923).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Management practices</span> means methods of systematic collection, source separation, storage, transportation,
               processing, treatment, recovery, and disposal of hazardous wastes and/or low-level
               radioactive wastes.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">On site</span> means the same as defined in 40 CFR 260.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Person</span> means any individual, corporation, partnership, firm, association, trust, estate,
               public or private institution, group, agency or other entity or any successor, subsidiary,
               or division thereof.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Storage</span> means containment for a period of over 90 days, or over o",SELECT * FROM cfr WHERE title = '40' AND part = '260',40,260,260,,,,,
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-318WACLFU,"<div class=""chunk-title"">Sec. 26-318. - Waste clean-up fund.</div>",bafkreig4pbtnw5smfgnyxm37gtakumwoycgqa7u4lrki647yprfq25knn4,Public Law,Public Law 96-510,Public Law 96-510 [Context not found],SELECT * FROM public_laws WHERE congress = '96' AND law_number = '510',,,,,96,510,,
PTIICOOR_CH34FL_ARTIINGE_S34-4DE,"<div class=""chunk-title"">Sec. 34-4. - Definitions.</div>",bafkreibgymaousvb47cl7n47wsstfo7yjnthhgez3hdzfq6ifb3jtinq44,Public Law,Public Law 97-348,Public Law 97-348 [Context not found],SELECT * FROM public_laws WHERE congress = '97' AND law_number = '348',,,,,97,348,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1317(b),33 U.S.C. 1317(b) [Context not found],SELECT * FROM usc WHERE title = '33' AND section = '1317',33,,1317(b),1317,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1342,"n of nondomestic pollutants from any source
               regulated under Section 307(b) or (c) of the Act (33 USC 1317(b), (c)), into the POTW,
               including holding tank waste discharged into the system.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Industrial user</span> means a source of indirect discharge which does not constitute a discharge of pollutants
               under regulations issued pursuant to Section 402 of the Act (33 USC 1342).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Interference</span> means the inhibition or disruption of the POTW treatment processes or operations
               which contributes to a violation of any requirement of the county's NPDES permit.
               The term ""interference"" includes prevention of sewage sludge use or disposal by the
               POTW in accordance with Section 405 of the Act (33 USC 1345) or any criteria, guidelines,
 ",SELECT * FROM usc WHERE title = '33' AND section = '1342',33,,1342,1342,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1345,"uant to Section 402 of the Act (33 USC 1342).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Interference</span> means the inhibition or disruption of the POTW treatment processes or operations
               which contributes to a violation of any requirement of the county's NPDES permit.
               The term ""interference"" includes prevention of sewage sludge use or disposal by the
               POTW in accordance with Section 405 of the Act (33 USC 1345) or any criteria, guidelines,
               or regulations developed pursuant to the Solid Waste Disposal Act (SWDA), the Clean
               Air Act, the Toxic Substances Control Act, or more stringent state criteria, including
               those contained in any state sludge management plan prepared pursuant to Title IV
               of SWDA, applicable to the method of disposal or use employed by the POTW.
               
            </p>
            <p class=""p0"">
               <span ",SELECT * FROM usc WHERE title = '33' AND section = '1345',33,,1345,1345,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1317(b),33 U.S.C. 1317(b) [Context not found],SELECT * FROM usc WHERE title = '33' AND section = '1317',33,,1317(b),1317,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1342,"n of nondomestic pollutants from any source
               regulated under Section 307(b) or (c) of the Act (33 USC 1317(b), (c)), into the POTW,
               including holding tank waste discharged into the system.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Industrial user</span> means a source of indirect discharge which does not constitute a discharge of pollutants
               under regulations issued pursuant to Section 402 of the Act (33 USC 1342).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Interference</span> means the inhibition or disruption of the POTW treatment processes or operations
               which contributes to a violation of any requirement of the county's NPDES permit.
               The term ""interference"" includes prevention of sewage sludge use or disposal by the
               POTW in accordance with Section 405 of the Act (33 USC 1345) or any criteria, guidelines,
 ",SELECT * FROM usc WHERE title = '33' AND section = '1342',33,,1342,1342,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1317(c),33 U.S.C. 1317(c) [Context not found],SELECT * FROM usc WHERE title = '33' AND section = '1317',33,,1317(c),1317,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,33 U.S.C. 1292,"The reduction or alteration
               can be obtained by physical, chemical or biological processes, or process changes
               by other means, except as prohibited by 40 CFR 403.6(d).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Pretreatment requirements</span> means any substantive or procedural requirement related to pretreatment, other than
               a national pretreatment standard imposed on an industrial user.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Publicly owned treatment works (POTW)</span> means a treatment works as defined by Section 212 of the Act (33 USC 1292) which
               is owned in this instance by the Town of Valdese or the county. This definition includes
               any sewers that convey wastewater to the POTW treatment plant, but does not include
               pipes, sewers or other conveyances not connected to a facility providing treatment.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Significant industrial user</span> means any industrial user of the county's wastewater disposal",SELECT * FROM usc WHERE title = '33' AND section = '1292',33,,1292,1292,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,40 C.F.R. 403.5,"rge limits promulgated by the EPA
               in accordance with Section 307(b) and (c) of the Act (33 USC 1317(b), (c)) which applies
               to a specific category of industrial users.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">National categorical pretreatment standard</span> or <span class=""ital"">prohibitive discharge standard</span> means any regulation developed under the authority of Section 307(b) of the Act and
               40 CFR 403.5.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">National Pollution Discharge Elimination System or NPDES permit</span> means a permit issued pursuant to Section 402 of the Act (33 USC 1342).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">New source</span> means any source, the construction of which is commenced after the publication of
               proposed regulations prescribing a Section 307(c) (3",SELECT * FROM cfr WHERE title = '40' AND part = '403',40,403,403.5,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,"<div class=""chunk-title"">Sec. 70-152. - Definitions.</div>",bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,40 C.F.R. 403.6,"f pollutants, the elimination of pollutants, or
               the alteration of the nature of pollutants, or the alteration of the nature of pollutant
               properties in wastewater to a less harmful state prior to or in lieu of discharging
               or otherwise introducing such pollutants into a POTW. The reduction or alteration
               can be obtained by physical, chemical or biological processes, or process changes
               by other means, except as prohibited by 40 CFR 403.6(d).
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Pretreatment requirements</span> means any substantive or procedural requirement related to pretreatment, other than
               a national pretreatment standard imposed on an industrial user.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Publicly owned treatment works (POTW)</span> means a treatment works as defined by Section 212 of the Act (33 U",SELECT * FROM cfr WHERE title = '40' AND part = '403',40,403,403.6,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-155FECAPRST,"<div class=""chunk-title"">Sec. 70-155. - Federal categorical pretreatment standards.</div>",bafkreidhw3ezx4ulfb6ckwpdtanmx35xri7fp763holcz3mu427m7n4b5q,CFR,40 C.F.R. 403.12,"t"">
            <p class=""p0"">
               Upon the promulgation of the federal categorical pretreatment standards for a particular
               industrial subcategory, the federal standard, if more stringent than limitations imposed
               under this article for sources in that subcategory, shall immediately supersede the
               limitations imposed under this article. The director shall notify all affected users
               of the applicable reporting requirements under 40 CFR 403.12.
               
            </p>
            <p class=""historynote0"">
               (Code 1993, Â§ 70-155)
               
            </p></div>",SELECT * FROM cfr WHERE title = '40' AND part = '403',40,403,403.12,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,"<div class=""chunk-title"">Sec. 70-156. - Modification of federal categorical pretreatment standards.</div>",bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,40 C.F.R. 403.7,"ent standards. The term
               ""consistent removal"" shall mean reduction in the amount of a pollutant or alteration
               of the nature of the pollutant by the wastewater treatment system to a less toxic
               or harmless state in the effluent which is achieved by the system in 95 percent of
               the samples taken when measured according to the procedures set forth in Section 403.7(c)(2)
               of Title 40 of the Code of Federal Regulations, part 403 (40 CFR 403.7(c)(2))â€”General
               Pretreatment Regulations for Existing and New Sources of Pollution promulgated pursuant
               to the Act. The county may then modify pollutant discharge limits in the federal pretreatment
               standards if the requirements contained in 40 CFR 403.7 are fulfilled and prior approval
               from the approval authority is obtained.
               
            </p>
            <p class=""historynote0"">
               (Code 1993, Â§ 70-156)
  ",SELECT * FROM cfr WHERE title = '40' AND part = '403',40,403,403.7,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,"<div class=""chunk-title"">Sec. 70-156. - Modification of federal categorical pretreatment standards.</div>",bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,40 C.F.R. 403.7,"ent standards. The term
               ""consistent removal"" shall mean reduction in the amount of a pollutant or alteration
               of the nature of the pollutant by the wastewater treatment system to a less toxic
               or harmless state in the effluent which is achieved by the system in 95 percent of
               the samples taken when measured according to the procedures set forth in Section 403.7(c)(2)
               of Title 40 of the Code of Federal Regulations, part 403 (40 CFR 403.7(c)(2))â€”General
               Pretreatment Regulations for Existing and New Sources of Pollution promulgated pursuant
               to the Act. The county may then modify pollutant discharge limits in the federal pretreatment
               standards if the requirements contained in 40 CFR 403.7 are fulfilled and prior approval
               from the approval authority is obtained.
               
            </p>
            <p class=""historynote0"">
               (Code 1993, Â§ 70-156)
  ",SELECT * FROM cfr WHERE title = '40' AND part = '403',40,403,403.7,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,"<div class=""chunk-title"">Sec. 70-170. - Periodic compliance reports.</div>",bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,40 C.F.R. 136,"These reports shall contain the results of
               sampling and analysis of the discharge, including the flow and the nature and concentration,
               or production and mass, where requested by the director, of pollutants contained therein
               which are limited by the applicable pretreatment standards. The frequency of monitoring
               shall be prescribed in the applicable pretreatment standard. All analysis shall be
               performed in accordance with procedures established by the administrator pursuant
               to Section 304(g) of the Act and contained in 40 CFR 136 and amendments thereto or
               with any other test procedures approved by the administrator. Sampling shall be performed
               in accordance with the techniques approved by the administrator. Where 40 CFR 136
               does not include a sampling or analytical technique for the pollutant in question,
               sampling and analysis shall be performed in accordance with the procedures set forth
               in the EPA publication, ""Sampling and Analysis Procedures ",SELECT * FROM cfr WHERE title = '40' AND part = '136',40,136,136,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,"<div class=""chunk-title"">Sec. 70-170. - Periodic compliance reports.</div>",bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,40 C.F.R. 136,"These reports shall contain the results of
               sampling and analysis of the discharge, including the flow and the nature and concentration,
               or production and mass, where requested by the director, of pollutants contained therein
               which are limited by the applicable pretreatment standards. The frequency of monitoring
               shall be prescribed in the applicable pretreatment standard. All analysis shall be
               performed in accordance with procedures established by the administrator pursuant
               to Section 304(g) of the Act and contained in 40 CFR 136 and amendments thereto or
               with any other test procedures approved by the administrator. Sampling shall be performed
               in accordance with the techniques approved by the administrator. Where 40 CFR 136
               does not include a sampling or analytical technique for the pollutant in question,
               sampling and analysis shall be performed in accordance with the procedures set forth
               in the EPA publication, ""Sampling and Analysis Procedures ",SELECT * FROM cfr WHERE title = '40' AND part = '136',40,136,136,,,,,
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV2WACOPE_S70-182AP,"<div class=""chunk-title"">Sec. 70-182. - Application.</div>",bafkreifxl6rxmnxpuplanv453cakabdjujwrix2jfr2johkoxarulxba2i,CFR,40 C.F.R. 136,"tent2"">
               Wastewater constituents and characteristics, including, but not limited to, those
               mentioned in<a href="""" data-chunk-id=""PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-154GEDIPR"" class=""section-link"" data-product-id=""14529""> section 70-154</a> as determined by a reliable analytical laboratory; sampling analysis shall be performed
               in accordance with procedures established by the EPA pursuant to Section 304(g) of
               the Act and contained in 40 CFR 136, as amended.
               
            </p>
            		
            <p class=""incr1"">
               (4)
               
            </p>
            		
            <p class=""content2"">
               Time and duration of contribution.
               
            </p>
            		
            <p class=""incr1"">
               (5)
               
            </p>
            		
            <p class=""content2"">
               Average daily and three-minute peak wastewater flow rates, includ",SELECT * FROM cfr WHERE title = '40' AND part = '136',40,136,136,,,,,
PTIICOOR_CH58SOWAMA_ARTIICOSTDI_S58-36STDI,"<div class=""chunk-title"">Sec. 58-36. - Storage and disposal.</div>",bafkreigepkzokhnbh6whkvy6rfl4jawo72lr4i2xjepd2akffvevmovyu4,CFR,40 C.F.R. 243.200,"rust resistant, nonabsorbent,
               watertight, and easily cleaned, with a closefitting, flytight cover in place, with
               adequate handles or bails to facilitate handling. The capacity of containers used
               for individual residences may not exceed 39 gallons. The EPA recommends a maximum
               capacity of 35 gallons unless the containers are equipped with casters and can be
               served by being rolled to the collection vehicle, as specified in 40 CFR 243.200-2(a)(1).
               Solid waste receptacles may also be used for storage provided they meet the requirements
               of this subsection. The number of containers shall be adequate to store one week's
               accumulation of garbage. Each container shall be kept clean so that no odor or other
               nuisance condition exists.
               
            </p>
            		
            <p class=""incr0"">
               (d)
               
            </p>
            		
 ",SELECT * FROM cfr WHERE title = '40' AND part = '243',40,243,243.200,,,,,
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,"<div class=""chunk-title"">Sec. 58-2. - Definitions.</div>",bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,USC,42 U.S.C. 2011,"However,
                  any oils or other liquid hydrocarbons that meet the criteria for hazardous waste under
                  RCRA shall also be a solid waste for the purposes of this definition;
                  
               </p>
               		
               
               <p class=""incr1"">
                  (4)
                  
               </p>
               		
               <p class=""content2"">
                  Any source, special nuclear or byproduct material as defined by the Atomic Energy
                  Act of 1954, as amended (42 USC 2011);
                  
               </p>
               		
               
               <p class=""incr1"">
                  (5)
                  
               </p>
               		
               <p class=""content2"">
                  Mining refuse covered by the state mining act, G.S. 74-46 through G.S. 74-68 and regulated
                  by the state mining commission. However, any specific mining waste that meets the
                  criteria for hazardous waste under RCRA shall als",SELECT * FROM usc WHERE title = '42' AND section = '2011',42,,2011,2011,,,,
